rank,rating_numeric,num_played,player_id,summoner_region,riot_id,puuid,rating,live.encryption_key,live.game_start_time,live.match_id,live.player_id,live.type,stats.RecentResult.ItemData.AD,stats.RecentResult.ItemData.AP,stats.RecentResult.ItemData.Tank,stats.RecentResult.avg_similarity,stats.RecentResult.board_strength_percentile_sum,stats.RecentResult.damage_percentile_sum,stats.RecentResult.lpChange,stats.RecentResult.num_played,stats.RecentResult.percentile_count,stats.RecentResult.place_sum,stats.RecentResult.topCarries,stats.RecentResult.wins,stats.appMatches,stats.currentPatchResult.ItemData.AD,stats.currentPatchResult.ItemData.AP,stats.currentPatchResult.ItemData.Tank,stats.currentPatchResult.avg_similarity,stats.currentPatchResult.board_strength_percentile_sum,stats.currentPatchResult.damage_percentile_sum,stats.currentPatchResult.lpChange,stats.currentPatchResult.num_played,stats.currentPatchResult.percentile_count,stats.currentPatchResult.place_sum,stats.currentPatchResult.topCarries,stats.currentPatchResult.wins,stats.num_played,stats.place_sum,stats.wins
1,4872,561,353582905,me1,منجة#بحبك,SBM-65J8LDsup6NqXNrraEppoDoHt_QkPlA2qicbM_wQhTS6nb3SOqeww1hClScAkK0M-MzjtCurgw,CHALLENGER I 2072 LP,,,,,,72,69,111,0.2693,953,1235,307,20,20,47,[],8,False,83,70,119,0.3038,1079,1339,280,22,22,55,[],9,561,1983,109
2,4871,477,3941714,br1,KBM Toddy#tft,nx9yc2rDqX_Rc7xwa7hJXeLZSQ5vCK6xMo9E8jDA9KQN1G8mD3hC0D-_yCPJ2SHrHMVBjbDmF0xiNQ,CHALLENGER I 2071 LP,,,,,,69,66,103,0.2727,1198,968,47,20,20,58,"[{""character_id"": ""TFT15_Braum"", ""count"": 9, ""avg"": 2.25}]",6,False,,,,,,,,,,,,,477,1576,120
3,4737,507,1696341,eun1,Litiq#EUNE,h-oGE9-A_UbLbAn4r2Mhw0RST6V2otlLfuMihFFRXsyEOakmhYsYt2izQ5vpjdVFge8qU5ChG3aNxA,CHALLENGER I 1937 LP,,,,,,72,74,88,0.2357,962,746,81,20,20,59,"[{""character_id"": ""TFT15_Malzahar"", ""count"": 8, ""avg"": 2.625}]",2,False,7,3,0,0,60,3,10,1,1,4,"[{""character_id"": ""TFT15_Samira"", ""count"": 1, ""avg"": 4}, {""character_id"": ""TFT15_Braum"", ""count"": 1, ""avg"": 4}]",0,506,1732,119
4,4735,477,450383412,sg2,FuuTime#xdd,dfFZTGk0bBYppTBlPNMvwrfsLwpsJF9vgl53-jjWxG4Kjm3314SLjV8JOWmTlVqmfvRiEfzGolICEA,CHALLENGER I 1935 LP,,,,,,89,66,109,0.2383,923,954,328,20,20,50,[],7,False,34,27,40,0.0853,454,290,83,8,8,22,[],2,477,1711,121
5,4670,688,3322631,la2,BlackSheep#Rap,NiJyBETk-4MDyXRA7qWaK-mPTVeAIdEOQkHr8nH7ywb__mkbEBjQvOGGACbkZVyBr_Egf_hXysAWXQ,CHALLENGER I 1870 LP,,,,,,57,104,114,0.1436,1048,1214,-119,20,20,69,[],4,False,,,,,,,,,,,,,687,2206,211
6,4665,259,349079186,na1,Flancy#1113,muexjN3KUdTuJ0eziJxAhYfDY2nyY0QnuOkDd6AtXuqPl-U0rwnTdqEbpbFTbp99eC5WXVJ25HaOjA,CHALLENGER I 1865 LP,,,,,,92,72,111,0.1184,919,1183,217,20,20,52,[],8,False,9,3,4,0,25,9,12,1,1,2,"[{""character_id"": ""TFT15_Samira"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Sett"", ""count"": 1, ""avg"": 2}]",0,259,855,74
7,4648,649,4620530,euw1,whyyoumadpro#EUW,D-MWvv-Cdd0OVNZipZsupGTSfK4RCMJa501zh6_Ost6eGGbipNAntNT7LoAj7JEErIGvZNDwt2rAig,CHALLENGER I 1848 LP,,,,,,62,95,112,0.1895,789,1126,-23,20,20,66,[],4,True,17,7,16,0.1111,133,136,-62,3,3,13,"[{""character_id"": ""TFT15_Braum"", ""count"": 2, ""avg"": 3}]",0,649,2505,120
8,4643,904,137932991,tw2,白龍1#1一1,WOjuDF9dpKYLu5SS8nRooHqPzihSI8efsM6JQFMAp5CKhReRXIWXTtWJNzIWS711XB2NZh1RsQQXgA,CHALLENGER I 1843 LP,,,,,,92,66,113,0.2504,872,812,312,20,20,48,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 2.7142857142857144}]",6,False,,,,,,,,,,,,,904,3291,190
9,4642,510,139847899,vn2,Plant the seed#6925,f_bBAIjBvrPdwS034x7DnH-9tG6XKnn3V_MQYEZ3_4dnWMVNW1fX09GeMYFlhENs88WT2TPPY_nZsQ,CHALLENGER I 1842 LP,,,,,,78,81,112,0.1765,972,1068,245,20,20,48,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 2.5555555555555554}]",9,False,4,6,6,0,38,0,19,1,1,2,"[{""character_id"": ""TFT15_Kayle"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Sett"", ""count"": 1, ""avg"": 2}]",0,510,1850,127
10,4630,360,4333101,eun1,Lunatic#kilah,rtHYSAvYtIoROFyvfh-XxQsmqG1wcro6hmfBA69ILnrk-lxIv1BAhmrA0-0A2cQ1gQWu8TAVihrS3w,CHALLENGER I 1830 LP,,,,,,69,67,117,0.235,1026,945,155,20,20,60,[],6,True,,,,,,,,,,,,,360,1305,93
